player,player_id,first_serve_pct,first_serve_win_pct,service_win_pct,second_serve_win_pct,first_return_win_pct,second_return_win_pct,rank,age,rank_change,cluster_rank,matches_played,cluster_age,climb_rate
Joao Sousa,sh90,0.5143765828898169,0.6674144078436055,0.5840389736363301,0.496899476204814,0.3384871833147695,0.5421522921522921,58,28.0,-17,339,56.0,0.03571428571428571,-0.30357142857142855
Hyeon Chung,ch27,0.5853959241793747,0.7348463989732381,0.6423554016746236,0.5141646668535236,0.28950260287591983,0.4864796113609836,59,21.0,14,336,48.0,0.047619047619047616,0.2916666666666667
Nikoloz Basilashvili,bg23,0.6205570503869071,0.7017606070030737,0.6338742343295072,0.5154537981144438,0.3276672708450965,0.506548969737203,60,25.0,29,335,59.0,0.04,0.4915254237288136
Peter Gojowczyk,g967,0.6333389093624308,0.764541522586492,0.6624240319786519,0.4839384836587685,0.3113497804802401,0.42290836523302,61,28.0,101,330,44.0,0.03571428571428571,2.2954545454545454
Donald Young,y124,0.5990915942491398,0.7326622023845705,0.6627801854379949,0.5591518524642971,0.28228673357781486,0.5613102316625875,62,28.0,12,329,49.0,0.03571428571428571,0.24489795918367346
Jiri Vesely,v708,0.646806335520949,0.6871252246228776,0.6367538239380365,0.5509331510302833,0.2965736167168056,0.5209417401359453,63,24.0,-9,328,46.0,0.041666666666666664,-0.1956521739130435
Guido Pella,pc11,0.5919540229885057,0.6822580645161291,0.5846310715609937,0.4326036866359447,0.2643540669856459,0.4567307692307692,64,27.0,20,327,41.0,0.037037037037037035,0.4878048780487805
Daniil Medvedev,mm58,0.5374617662487468,0.7840165878508716,0.6661041669146341,0.5322790308699368,0.27179505883599375,0.41488289136263246,65,21.0,-2,325,48.0,0.047619047619047616,-0.041666666666666664
Horacio Zeballos,z184,0.5878229816132414,0.6659246289655535,0.5791040164000174,0.45756170515803574,0.30345984581300867,0.5001690209538382,66,32.0,6,323,42.0,0.03125,0.14285714285714285
Dudi Sela,sc56,0.578685920235216,0.5562499999999999,0.544344066644536,0.5154428904428905,0.37915742793791574,0.5153862478777589,67,32.0,8,322,30.0,0.03125,0.26666666666666666
Federico Delbonis,d874,0.6136741911012187,0.6644983425622819,0.6195528964758525,0.5419364250737209,0.30692648837835174,0.5499094415437298,68,27.0,-19,318,25.0,0.037037037037037035,-0.76
Florian Mayer,mb02,0.6535034673075406,0.6504778853963603,0.5916279454948651,0.47446495581028447,0.3645577453361758,0.5349405922723114,69,34.0,-19,317,30.0,0.029411764705882353,-0.6333333333333333
Evgeny Donskoy,d864,0.6880663962255921,0.6789382681511926,0.616409970184447,0.5066028354309359,0.2969361024122877,0.5214304521589619,72,27.0,60,311,36.0,0.037037037037037035,1.6666666666666667
Thomas Fabbiano,f586,0.6976254526200725,0.5644279331779332,0.5341736694677871,0.4571354571354571,0.1718891038039974,0.44016047871617026,73,28.0,58,308,34.0,0.03571428571428571,1.7058823529411764
Mikhail Kukushkin,k926,0.5786599263852952,0.7579645727941778,0.6655290668288032,0.5367841698811407,0.28252054922088854,0.498539670592987,74,29.0,25,307,39.0,0.034482758620689655,0.6410256410256411
Dusan Lajovic,l987,0.5882046904460652,0.7254535746401527,0.6440978637579223,0.5341176401817134,0.271578017847832,0.5157332634598373,75,27.0,17,305,52.0,0.037037037037037035,0.3269230769230769
Steve Darcis,d632,0.6057208960543904,0.7216048219771997,0.6526551217596928,0.5598834057583706,0.36612164387144075,0.5098066279852255,76,33.0,-18,304,38.0,0.030303030303030304,-0.47368421052631576
Jeremy Chardy,ca12,0.5940802494875195,0.6153292525365612,0.5634609543933988,0.48234875772367847,0.27759140132783255,0.4896836678526671,77,30.0,-6,303,45.0,0.03333333333333333,-0.13333333333333333
Frances Tiafoe,td51,0.6458639600536034,0.6731366288526137,0.5915404348897444,0.4396431205176863,0.3331585412364938,0.48111794763734916,78,19.0,19,299,38.0,0.05263157894736842,0.5
Ivo Karlovic,k336,0.5562894552256255,0.6982954545454545,0.5892564881926584,0.449314251639833,0.2781649245063879,0.4138719512195122,79,38.0,-60,298,35.0,0.02631578947368421,-1.7142857142857142
Matthew Ebden,e690,0.6040115942334174,0.7202321600635677,0.6331988594700424,0.5176033737081969,0.2769660427216255,0.4181830384521612,80,29.0,568,297,35.0,0.034482758620689655,16.228571428571428
Mikhail Youzhny,y061,0.5962682000819551,0.6753585446859903,0.5984583991618706,0.4841679784404719,0.26983515653853973,0.5101466769183978,84,35.0,7,287,44.0,0.02857142857142857,0.1590909090909091
Marton Fucsovics,f724,0.674128256025158,0.7103460085330557,0.6448751285372931,0.518218160659154,0.29226559513048045,0.47951421659788207,85,25.0,74,282,29.0,0.04,2.5517241379310347
Tennys Sandgren,sl08,0.6386316880288293,0.6983083549957836,0.6227877334067764,0.48862357718827754,0.28031947254391676,0.5120121377994189,86,26.0,108,281,15.0,0.038461538461538464,7.2
Andreas Seppi,sa93,0.5854062625900835,0.6985072489966999,0.6241668763305044,0.5170656740188343,0.2783711577093243,0.47389184430613274,87,33.0,-19,279,42.0,0.030303030303030304,-0.4523809523809524
Radu Albot,a829,0.5315847007650278,0.6094149200322401,0.4867551597787232,0.3610813071870833,0.14674899600697766,0.5501686061231794,88,28.0,7,278,41.0,0.03571428571428571,0.17073170731707318
Stefanos Tsitsipas,te51,0.5683660055114639,0.7015438114200073,0.6265255376031822,0.5248938647493733,0.2931315314474,0.4875894730573404,89,19.0,107,276,39.0,0.05263157894736842,2.7435897435897436
Laslo Djere,db63,0.5201308815794796,0.7273005093378608,0.6222255937209208,0.4968622967479675,0.28531283138918345,0.5185150375939849,90,22.0,90,275,22.0,0.045454545454545456,4.090909090909091
Gilles Simon,sd32,0.6721476478467148,0.7403859860252812,0.6368788248429478,0.40812528556209193,0.24137189460867303,0.45378009334234826,91,32.0,-67,274,40.0,0.03125,-1.675
Maximilian Marterer,mn13,0.6019397050155695,0.5999898142330605,0.5404877336237986,0.4711451065334003,0.23047835192459085,0.5474578340729921,92,22.0,76,271,26.0,0.045454545454545456,2.923076923076923
Lukas Lacko,l797,0.6053080277362917,0.6768663504656913,0.6140954431289581,0.505788711078085,0.25777410675157697,0.5568817133090865,93,30.0,15,269,39.0,0.03333333333333333,0.38461538461538464
Marius Copil,ca99,0.5404602788670402,0.6707845411028022,0.592127723274313,0.49533521873658426,0.27156345884295735,0.4643352127175656,94,27.0,35,268,38.0,0.037037037037037035,0.9210526315789473
Jordan Thompson,tc61,0.5630013310661002,0.7175761269800605,0.6227574355388544,0.5101283217668798,0.2819231040502559,0.4817591485865128,95,23.0,-30,267,32.0,0.043478260869565216,-0.9375
